ANYO;MES;COD_PROV;DESC_PROV;COD_MUN;DESC_MUN;COD_NIVEL;DESC_NIVEL;DEMANDANTES
2017;02;03;ALICANTE;001;ADSUBIA;12;ESTUDIOS PRIMARIOS COMPLETOS;1
2017;02;03;ALICANTE;001;ADSUBIA;21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;1
2017;02;03;ALICANTE;001;ADSUBIA;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;7
2017;02;03;ALICANTE;001;ADSUBIA;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;6
2017;02;03;ALICANTE;001;ADSUBIA;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;0
2017;02;03;ALICANTE;001;ADSUBIA;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;1
2017;02;03;ALICANTE;001;ADSUBIA;55;ENSEÑANZAS UNIVERSITARIAS DE 1 ER Y 2º CICLO, DE SÓLO SEGUNDO CICLO Y EQUIVALENTES (LICENCIADOS);2
2017;02;03;ALICANTE;002;AGOST;11;ESTUDIOS PRIMARIOS INCOMPLETOS;23
2017;02;03;ALICANTE;002;AGOST;12;ESTUDIOS PRIMARIOS COMPLETOS;23
2017;02;03;ALICANTE;002;AGOST;21;PROGRAMAS PARA LA FORMACIÓN E INSERCIÓN LABORAL QUE NO PRECISAN DE UNA TITULACIÓN ACADÉMICA DE LA 1ª ETAPA DE SECUNDARIA PARA SU REALIZACIÓN (MÁS DE 300 HORAS).;1
2017;02;03;ALICANTE;002;AGOST;22;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA SIN TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;183
2017;02;03;ALICANTE;002;AGOST;23;PRIMERA ETAPA DE EDUCACIÓN SECUNDARIA CON TÍTULO DE GRADUADO ESCOLAR O EQUIVALENTE.;143
2017;02;03;ALICANTE;002;AGOST;32;ENSEÑANZAS DE BACHILLERATO;18
2017;02;03;ALICANTE;002;AGOST;33;ENSEÑANZAS DE GRADO MEDIO DE FORMACIÓN PROFESIONAL ESPECÍFICA, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;24
2017;02;03;ALICANTE;002;AGOST;34;ENSEÑANZAS DE GRADO MEDIO DE MÚSICA Y DANZA;1
2017;02;03;ALICANTE;002;AGOST;51;ENSEÑANZAS DE GRADO SUPERIOR DE FORMACIÓN PROFESIONAL ESPECÍFICA Y EQUIVALENTES, ARTES PLÁSTICAS Y DISEÑO Y DEPORTIVAS.;18
